,rating,review_text,title;;;;
"0,['5.0 out of 5 stars'],""['I love this product.  When I first applied this mascara, it looked as if I had professional applied false eyelashes.  It easily wipes off with my makeup remover wipes.  I watched a makeup tutorial video, and this was the mascara the video model used.  I was so impressed I had to try it myself.', 'In the past, I have used mascaras that damaged my eyelashes, thinning my eyelashes or causing my eyelashes to fall out altogether.  I began using the expensive name brand mascaras. This product DOES NOT DAMAGE MY EYELASHES AT ALL.', 'I love this product.  Even my daughter who is a budding makeup artist and is VERY PARTICULAR about her makeup products, when my daughter saw how it worked on me, she tried this mascara and loved it.  Loreal Paris Voluminous Butterfly Sculpting Mascara is now in her makeup arsenal.', 'I have purchased this product multiple times, and I will continue to use this mascara as long as they make it.  Easy application, super stretch, authentic fullness, no damage to my eyelashes, and it is easy to apply & it is easy to remove.', 'The mascara does not run down my face when it rains or when I cry, but it will smudge if wiped when the mascara is wet from any water source.  It does remain intact if it is not touched while it is wet.  It will dry and stay beautifully intact.  What more can one ask for in a mascara product?.', """"L'Oréal Paris Voluminous Butterfly Sculpting Mascara"; does everything you want a mascara to do;" tight line effect at the root, giving an intense effect, length, definition, and volume.  Everything you could want in a mascara and it is all in one tube.  No need to wear false eyelashes anymore, no need to use multiple mascaras to achieve the look I want.  I RECOMMEND THIS MASCARA.  As this mascara is gaining in popularity, I have found the product often is on back order.  I recommend subscribing to this product.  Regular delivery prevents running out of the product. I wear mascara every day. One tube of this product will last me about two months.  Multiple application can cause clumping, so I recommend using one application or keep a lash comb nearby."""", ' Badda Bing!', '~BMB']"",['Length and Fullness"; Easy application; Easy to remove']
"1,['1.0 out of 5 stars'],""['I love Loreal mascara. What I always use is Voluminous. Why? Because it is awesome and I get compliments all the time. This is not a review of Voluminous. You see, I am a sucker for and new makeup. The ads, the packaging get me everytime. This was one that lured me in. I used it one time. Horrible! It is clumpy very clumpy and I hate the brush. I hated my eyes all day. It is much better to use an eyeliner to tight line and use a decent mascara.']"",['Skip it']";;;;
"2,['3.0 out of 5 stars'],""['This mascara makes me sad.', """"It's easy to apply, gives a bold tightlined effect, fanned-out lashes and great lengthening. When I first apply it, it's gorgeous.  Unfortunately it has no staying power. Cool day, warm day, busy schedule, a short evening out for dinner and a movie -- it doesn't matter. I end up with smudges and flakes under my eyes. It has never stayed in place for longer than 45 minutes. i was expecting the staying power of some of my favorite L'Oreal mascaras but was disappointed.""""]"",['Pretty briefly then a flaky mess.']";;;;
"3,['2.0 out of 5 stars'],""[""""I was disappointed in this mascara. The brush was difficult to use and heavily loaded with product. In order to use this, I ended up wiping some product off with a tissue before applying. Even then, the application was too heavy and flaked throughout the day. This mascara might be OK for someone interested in very heavy mascara resulting in thick lashes but not for someone who's interested in a more natural look, easy application and daily use.""""]"",['Disappointing.']";;;;
"4,['4.0 out of 5 stars'],""['I bought this after reading a review on a website about best drugstore mascaras. My everyday look involves a bit of powdered foundation and mascara and focus on my eyes when I wear more makeup. This was easy to apply and is very buildable! I like this better than the Younique 3d lashes and others for $20+ (like Benefit). This coats well, keeps my lashes curled, and gives nice definition from base to tip. I wish it were waterproof, but otherwise it is a great mascara for the price.']"",['... this after reading a review on a website about best drugstore mascaras']";;;;
"5,['5.0 out of 5 stars'],""['I know a lot of people find this particular mascara difficult to use, and I think that is so unfortunate. This is my absolute favorite mascara! I, too, found it to be very clumpy when I first applied it, because the wand comes out of the tube with way too much mascara on it. I simply wipe the excess product off around the ring of the tube, and then apply what is left on the wand. And my eyelashes come out amazingly beautiful! Just as advertised, with a voluminous fanned out butterfly effect on the outer lashes. It really is as simple as removing the excess product and saving it for later. One coat is all that is needed.']"",['My Favorite Mascara! Beautifully Sculpted Eye-catching Lashes!']";;;;
"6,['5.0 out of 5 stars'],""[""""I've purchased all kinds of mascara--even the $25 dollar ones and NONE have ever compared to this one. I've searched for YEARS--I'm talking since I started wearing make up--and none of hem expand my lashes like these do. Not to mention, adds volume, and does not flake or clump. It truly expands your eyelashes and curves them up. I have straight, short lashes naturally and this mascara enhances them and lifts them. I will ALWAYS be an advocate for this mascara, as long as nothing changes!""""]"",""[""""I've searched and searched for YEARS and *this* is the best mascara EVER!""""]""";;;;
"7,['1.0 out of 5 stars'],""['I love L’Oreal products and use them often, BUT I did not like this product at all.  It was very difficult to apply, very smudgy, did not go on smoothly at all. I was very disappointed and no longer use it. I felt like I just threw my money in the trash because I could not use it.']"",['Really Disliked this Product']";;;;
"8,['2.0 out of 5 stars'],""['This stuff is awful, I really wanted to like it. I even tried it few times in hopes that it was just technique, but no ithanks just sucks. Really clumpy, the """"tightline"""" is a mess and burns your eyes (since it lines your water line) just skip this product.']"",""[""""Don't waste your money!""""]""";;;;
"9,['5.0 out of 5 stars'],""['Love this mascara! Separates the lashes and lengthens them as mascara should with out clumping. Wand is different from anything I have used before. Doesnt look like it has any mascara on it but it sure did, because my lashes were full and long.']"",['Love this mascara']";;;;
"0,['4.0 out of 5 stars'],""[""""This product works as expected, it was a little different to apply as the brush is more like a stick but it seems to work and do the job.  Overall, I like the mascara, the application just takes some getting used to.  I'm not sure that your eyelashes look like butterflies or anything like that, however, I think in the end, I do like the applicator brush and would purchase this product again.""""]"",['Interesting applicator brush yet good product']";;;;
1,['1.0 out of 5 stars'],['When I received this item the wand was bent. I used the product on one eye and when I went to pull it out of the tube to do my other eye the wand completely broke leaving the brush stuck in the mascara tube. I buy this product at the grocery store about once a month and have never had this issue. Really disappointed this happened especially since I was at work and had to walk around with one eye mascara’d and the other not. 1/5 stars will stick to the drug store products.'],['Faulty product'];;;;
2,['5.0 out of 5 stars'],['I have been using this for a few years and it works great for me. Its important to scrape the excess off before using. You can separate lashes by using the tip vertically. My lashes look long and almost like fake lashes when I apply two coats.'],['My favorite mascara'];;;;
"3,['5.0 out of 5 stars'],""['I ordered this mascara for my wife, since she could not find it in any store yet, and she absolutely loves it. As I can see for myself,  looking at her with this mascara on, the lashes really look great and professional!']"",['Great purchase!']";;;;
4,['4.0 out of 5 stars'],['Les da gran volumen a las pestañas solo hay un pequeño problema que no las riza como se esperaba.'],['Bueno'];;;;
5,['1.0 out of 5 stars'],['Do not buy this mascara from Amazon. This is my favorite mascara but I usually buy from the store. I recently purchased from Amazon because it was a little cheaper but it was not the same product. This was very clumpy and after two days of using my eye became very infected. Went back to buying from the store!'],['Do Not Buy This Product From Amazon'];;;;
6,['5.0 out of 5 stars'],['This is the best mascara for the price'],['Five Stars'];;;;
"7,['5.0 out of 5 stars'],['Love this mascara. Goes on evenly and smoothly and covers lashes from base to tips. And it makes it very easy to apply another coat. L’Oréal Telescopic was my favorite until now. This is definitely my new favorite!'],""['Not dry and flaky, easy to apply']""";;;;
8,['5.0 out of 5 stars'],['Love the wand.  It is skinny and makes easy application.'],['Five Stars'];;;;
9,['4.0 out of 5 stars'],['I like it a lot. One star off because it still glues the eyelashes together and the reason I tried this one was because the reviews said it is among top not glueing ones..'],['I like it a lot'];;;;
0,['5.0 out of 5 stars'],['The best mascara ive ever used. Makes lashes long and thick. I was very much surprised. The wand is so different. I Really like it. I feel it sseparate.lashes'],['Terrific Mascara'];;;;
"1,['4.0 out of 5 stars'],""[""""It's great and it gives a lot of volume, though it does get a little gloppy if you aren't careful.""""]"",""[""""It's great and it gives a lot of volume""""]""";;;;
2,['1.0 out of 5 stars'],['En lugar de quedarme levantadas luego de risarme las pestañas este rímel me las mojo clompletas. No lo recomiendo el lavable 😕'],['Decepcionada'];;;;
"3,['1.0 out of 5 stars'],""[""""Found it to be very clumpy.  I'll stick with the original which I  love.""""]"",""[""""I'll stick with the original which I love.""""]""";;;;
"4,['4.0 out of 5 stars'],""[""""I liked this mascara ok. I felt that it didn't offer much in volume overall compared to other drug store options. I DO like the wand and ability to get closer to the lash line, but it is not build-able.""""]"",['ok']";;;;
5,['5.0 out of 5 stars'],['i love it!! my lashes look and feel wonderful im so excited to wear it again for my bday'],['mascara'];;;;
6,['1.0 out of 5 stars'],['I like the effects of this product in past purchases but this past shipment was defective. The mascara was dry and flaked off. Seemed either old or frozen on delivery.'],['Damaged mascara'];;;;
"7,['5.0 out of 5 stars'],""['I saw great reviews for this mascara so I got it. For having a weird brush, it gives a lot of volume. Great!']"",['I saw great reviews for this mascara so I got it']";;;;
8,['5.0 out of 5 stars'],['Love the product. Separates my lashes as stated  and make my lashes look longer.'],['Five Stars'];;;;
9,['5.0 out of 5 stars'],['Really love the brush on this mascara.  It grabs and coats all the little eyelashes.  this makes my eyelashes so long that they touch my eyelids!'],['love the brush!'];;;;
"0,['5.0 out of 5 stars'],""['Great product. Made my lashes extra long, even the bottom  looked great and noticeable. Someone even asked if I had on fake lashes they looked so good.']"",['Amazing!']";;;;
1,['1.0 out of 5 stars'],['Did not like the brush.'],['One Star'];;;;
